年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,6,1,0,18,臺中市,梧棲區,0,1,0,8,3,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,12,,6,6,1,9,1,C03,120.543021,24.233341,2
2022,6,1,0,37,臺中市,西區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,2,1,10,5,5,2,13,23,3,10,1,1,B01,7,9,1,2,2,8,,23,23,1,10,9,B01,120.66974,24.146621,2
2022,6,1,0,40,臺中市,西區,0,1,0,8,3,5,50,4,1,1,5,4,1,7,2,1,10,5,5,2,16,9,3,10,1,1,B03,7,6,1,8,2,6,,9,9,1,4,8,B03,120.669414,24.138753,2
2022,6,1,2,59,臺中市,北區,0,1,0,8,3,5,50,11,9,1,5,4,5,6,4,4,1,4,5,2,23,43,2,9,1,1,C03,7,9,1,10,6,11,,43,43,1,21,9,C03,120.691565,24.159464,2
2022,6,1,6,19,臺中市,龍井區,0,1,0,8,1,5,30,3,2,1,5,4,5,7,4,4,10,5,5,2,17,12,2,8,3,4,C03,7,9,1,10,2,12,,23,12,1,22,9,C03,120.58829,24.179519,2
2022,6,1,6,20,臺中市,潭子區,0,0,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,10,5,,,,,C03,,,1,,2,,,5,5,1,22,,C03,120.706722,24.21039,3
2022,6,1,6,45,臺中市,北屯區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,5,,6,6,1,5,8,B03,120.696006,24.184445,2
2022,6,1,7,12,臺中市,沙鹿區,0,1,0,8,1,5,60,5,7,1,5,4,5,7,4,4,1,4,4,1,17,7,3,10,1,1,B12,7,7,1,8,2,15,,7,7,1,4,1,B12,120.569611,24.237591,2
2022,6,1,7,15,臺中市,大雅區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,A06,,,1,,2,,,23,23,1,10,,A06,120.65094,24.21777,3
2022,6,1,7,15,臺中市,清水區,0,0,0,8,,,70,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,7,1,22,,B03,120.591078,24.30392,3
2022,6,1,7,18,臺中市,梧棲區,0,2,0,8,1,5,60,4,2,1,5,4,5,7,2,1,10,5,5,2,16,42,2,9,1,1,C03,7,9,3,18,2,14,12,42,42,1,11,1,C03,120.534536,24.246301,2
2022,6,1,7,25,臺中市,大雅區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,C03,7,6,1,10,2,14,,6,6,1,22,9,C03,120.667236,24.215917,2
2022,6,1,7,39,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,,,,,B03,,,1,,2,,,19,19,1,22,,B03,120.70566,24.231643,3
2022,6,1,7,40,臺中市,烏日區,0,1,0,8,1,5,60,14,7,1,5,4,5,7,4,4,1,4,4,1,17,7,3,10,1,1,B03,7,8,1,8,2,6,,7,7,1,21,1,B03,120.586005,24.113122,2
2022,6,1,7,41,臺中市,北區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,1,4,4,2,13,16,2,8,1,1,C03,7,8,3,18,2,12,,16,16,1,22,9,C03,120.677465,24.1544,2
2022,6,1,7,45,臺中市,大雅區,0,2,0,8,1,5,30,14,9,1,5,4,5,7,4,4,10,5,5,2,11,6,2,8,1,1,C03,7,5,3,18,2,11,,6,6,1,22,1,C03,120.66055,24.24607,2
2022,6,1,7,45,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,C03,,,1,,9,,,16,16,1,5,,C03,120.699853,24.104543,3
2022,6,1,7,51,臺中市,北區,0,0,0,8,,,40,,,,,,,,,,,,,,,19,,,,,C03,,,1,,2,,,19,19,1,5,,C03,120.671233,24.157954,3
