年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,12,1,0,48,臺中市,西屯區,0,1,0,8,3,5,40,4,1,1,5,4,5,7,1,1,10,5,5,2,16,10,3,10,3,4,B03,7,11,1,8,2,4,,10,10,1,22,8,B03,120.661474,24.165193,2
2022,12,1,2,40,臺中市,東區,0,0,0,6,3,5,50,14,9,1,4,4,5,7,4,4,5,4,5,2,13,16,3,10,1,1,B12,7,9,1,8,2,1,,16,16,1,10,8,B12,120.690491,24.143008,3
2022,12,1,3,44,臺中市,西屯區,0,1,0,7,3,5,50,4,1,1,4,4,5,7,2,1,10,5,5,2,18,43,2,9,1,1,C03,7,9,1,10,2,12,,43,43,1,22,8,C03,120.645153,24.178736,2
2022,12,1,4,7,臺中市,北屯區,0,1,0,6,3,5,50,4,1,1,4,4,5,7,2,1,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,12,6,6,1,5,8,C03,120.686666,24.185343,2
2022,12,1,4,11,臺中市,西區,0,1,0,6,3,5,50,4,1,1,4,4,5,7,1,1,10,5,5,2,13,23,3,10,1,1,B03,7,9,1,8,2,1,,23,23,1,20,8,B03,120.663263,24.163328,2
2022,12,1,5,11,臺中市,北屯區,0,1,0,6,3,5,40,14,7,1,4,4,5,7,4,4,1,4,4,2,17,19,3,10,3,4,B12,7,1,1,8,2,8,,19,19,1,21,8,B12,120.661231,24.190721,2
2022,12,1,5,18,臺中市,潭子區,0,1,0,6,4,5,30,14,9,1,4,4,5,7,4,4,10,5,5,1,1,23,3,10,1,1,C03,7,9,1,10,2,15,,23,23,1,22,8,C03,120.693572,24.208038,2
2022,12,1,5,49,臺中市,大甲區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,22,,B03,120.652465,24.40473,3
2022,12,1,6,14,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,25,,,,,B03,,,3,,1,,,25,,1,20,,B03,120.670549,24.164924,3
2022,12,1,6,20,臺中市,北屯區,0,1,0,7,2,5,50,4,1,1,4,4,5,7,2,1,10,5,5,2,16,6,3,10,1,1,B12,7,6,1,8,2,5,,6,6,1,5,8,B12,120.715208,24.163881,2
2022,12,1,6,24,臺中市,西屯區,0,1,0,6,1,5,50,14,9,1,4,4,5,7,4,4,5,5,5,2,18,43,2,9,3,4,C03,7,9,1,10,2,15,,43,43,1,22,8,C03,120.604148,24.1727,2
2022,12,1,6,44,臺中市,北屯區,0,1,0,7,1,5,50,14,9,1,4,4,5,7,4,4,1,4,5,2,18,13,2,9,3,4,C03,7,9,1,10,2,15,,13,13,1,21,8,C03,120.675333,24.173749,2
2022,12,1,6,48,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,1,4,5,2,12,9,3,10,1,1,B03,7,6,1,8,1,2,,9,9,1,22,8,B03,120.623754,24.173556,2
2022,12,1,6,56,臺中市,沙鹿區,0,0,0,8,,,60,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,10,,B03,120.569679,24.237042,3
2022,12,1,6,57,臺中市,北屯區,0,1,0,8,1,5,40,5,1,1,4,4,5,7,2,1,10,5,5,2,16,25,3,10,1,1,B03,7,6,1,8,2,5,,44,25,1,5,8,B03,120.686805,24.201345,2
