年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2022,5,1,0,20,臺中市,大雅區,0,2,0,8,3,5,50,4,1,1,5,4,5,7,2,1,10,4,5,1,11,26,2,9,1,1,C03,7,5,1,10,2,11,,26,26,1,22,9,C03,120.649223,24.216178,2
2022,5,1,0,30,臺中市,潭子區,0,1,0,8,3,5,60,14,8,1,5,4,5,7,4,4,1,3,4,1,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.702448,24.192387,2
2022,5,1,0,50,臺中市,南屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,7,,,,,B03,,,1,,1,,,7,7,1,22,,B03,120.624572,24.141352,3
2022,5,1,0,59,臺中市,梧棲區,0,1,0,8,3,5,40,4,1,1,5,4,5,7,1,1,10,5,5,2,13,26,2,7,1,1,C03,7,9,1,10,2,11,,26,26,1,18,8,C03,120.540915,24.261205,2
2022,5,1,3,2,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,,,,,B03,,,1,,2,,,6,6,1,22,,B03,120.680958,24.153638,3
2022,5,1,3,20,臺中市,東區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,17,42,2,1,3,4,B01,7,9,1,4,2,5,,23,42,1,5,8,B01,120.698251,24.148016,2
2022,5,1,4,21,臺中市,西區,0,3,0,8,3,5,50,14,9,2,5,4,5,7,4,4,5,4,5,2,16,7,2,9,1,1,C03,7,7,2,18,2,12,,7,7,1,22,9,C03,120.670834,24.134233,2
2022,5,1,5,50,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,11,,,23,23,1,21,,B03,120.725126,24.157895,3
2022,5,1,7,42,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,26,,,,,B03,,,2,,2,,,26,26,1,21,,B03,120.697739,24.170558,3
2022,5,1,7,52,臺中市,烏日區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,4,1,16,26,2,9,1,1,C03,7,11,1,10,2,14,,26,26,1,5,8,C03,120.621789,24.106528,2
